CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel mínimo diario,2016-04-02 00:00,cm,120,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel máximo diario,2016-04-03 00:00,cm,344,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel mínimo diario,2016-04-03 00:00,cm,108,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel máximo diario,2016-04-04 00:00,cm,366,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel mínimo diario,2016-04-04 00:00,cm,78,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel máximo diario,2016-04-05 00:00,cm,401,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel mínimo diario,2016-04-05 00:00,cm,49,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel máximo diario,2016-04-06 00:00,cm,438,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel mínimo diario,2016-04-06 00:00,cm,13,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel máximo diario,2016-04-07 00:00,cm,465,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel mínimo diario,2016-04-07 00:00,cm,0,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel máximo diario,2016-04-08 00:00,cm,480,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel mínimo diario,2016-04-08 00:00,cm,4,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel máximo diario,2016-04-09 00:00,cm,484,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel mínimo diario,2016-04-09 00:00,cm,17,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel máximo diario,2016-04-10 00:00,cm,469,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel mínimo diario,2016-04-10 00:00,cm,20,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel máximo diario,2016-04-11 00:00,cm,447,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel mínimo diario,2016-04-11 00:00,cm,4,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel máximo diario,2016-04-12 00:00,cm,428,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel mínimo diario,2016-04-12 00:00,cm,21,Preliminar
