"fecha_inicio","fecha_final","departamento","municipio","tipo_tecnologia","gm","dm","cm","id_empresa","empresa","ano_repor","cod_periodo"
"2023-02-01T00:00:00.000","2023-02-28T00:00:00.000","27","25","1","1254.8948","26.3334","132.1792","32194","EMPRESA DE SERVICIOS PUBLICOS DEL ALTO BAUDO E.S.P. S.A.S.","2023","2"
"2023-03-01T00:00:00.000","2023-03-31T00:00:00.000","27","25","1","1286.4483","26.6391","134.3741","32194","EMPRESA DE SERVICIOS PUBLICOS DEL ALTO BAUDO E.S.P. S.A.S.","2023","3"
"2023-04-01T00:00:00.000","2023-04-30T00:00:00.000","27","25","1","1360.6558","185.2041","135.7859","32194","EMPRESA DE SERVICIOS PUBLICOS DEL ALTO BAUDO E.S.P. S.A.S.","2023","4"
"2023-05-01T00:00:00.000","2023-05-31T00:00:00.000","27","25","1","1370.1098","183.2211","136.8473","32194","EMPRESA DE SERVICIOS PUBLICOS DEL ALTO BAUDO E.S.P. S.A.S.","2023","5"
"2023-06-01T00:00:00.000","2023-06-30T00:00:00.000","27","25","1","1380.2023","181.6267","137.445","32194","EMPRESA DE SERVICIOS PUBLICOS DEL ALTO BAUDO E.S.P. S.A.S.","2023","6"
"2023-01-01T00:00:00.000","2023-01-31T00:00:00.000","27","73","1","1099.27","25.85","136.8","50543","EAT ELECTRIFICADORA DE LA ZONA URBANA Y RURAL DE CHOCO","2023","1"
"2023-02-01T00:00:00.000","2023-02-28T00:00:00.000","27","73","1","1072.67","26.33","139.23","50543","EAT ELECTRIFICADORA DE LA ZONA URBANA Y RURAL DE CHOCO","2023","2"
"2023-03-01T00:00:00.000","2023-03-31T00:00:00.000","27","73","1","1078.75","26.64","141.54","50543","EAT ELECTRIFICADORA DE LA ZONA URBANA Y RURAL DE CHOCO","2023","3"
"2023-04-01T00:00:00.000","2023-04-30T00:00:00.000","27","73","1","1086.1","26.63","143.03","50543","EAT ELECTRIFICADORA DE LA ZONA URBANA Y RURAL DE CHOCO","2023","4"
"2023-05-01T00:00:00.000","2023-05-31T00:00:00.000","27","73","1","1101.25","26.35","144.14","50543","EAT ELECTRIFICADORA DE LA ZONA URBANA Y RURAL DE CHOCO","2023","5"
"2023-06-01T00:00:00.000","2023-06-30T00:00:00.000","27","73","1","1112.0","26.09","144.77","50543","EAT ELECTRIFICADORA DE LA ZONA URBANA Y RURAL DE CHOCO","2023","6"
"2023-01-01T00:00:00.000","2023-01-31T00:00:00.000","27","77","1","1212.78","239.71","80.28","1811","E. S. P. DE ENERGIA ELECTRICA DE BAJO BAUDO PIZARRO S.A.","2023","1"
"2023-01-01T00:00:00.000","2023-01-31T00:00:00.000","27","77","1","1084.54","40.15","112.53","43836","EMPRESA DE SERVICIOS PÚBLICOS DE ENERGÍA LIMPIA DE COLOMBIA ENERLIMPIA S.A. E.S.P.","2023","1"
"2023-01-01T00:00:00.000","2023-01-31T00:00:00.000","27","77","1","1345.36","25.85","212.93","37953","Prestadora de Servicios Públicos y Energía en ZOnas No Conectadas ESP SAS","2023","1"
"2023-01-01T00:00:00.000","2023-01-31T00:00:00.000","27","77","1","1569.6459","179.7358","126.572","37735","ENERPACIFIC S.A.S. E.S.P.","2023","1"
"2023-02-01T00:00:00.000","2023-02-28T00:00:00.000","27","77","1","1072.56","42.91","114.98","43836","EMPRESA DE SERVICIOS PÚBLICOS DE ENERGÍA LIMPIA DE COLOMBIA ENERLIMPIA S.A. E.S.P.","2023","2"
"2023-02-01T00:00:00.000","2023-02-28T00:00:00.000","27","77","1","1576.9517","183.1088","128.8216","37735","ENERPACIFIC S.A.S. E.S.P.","2023","2"
"2023-02-01T00:00:00.000","2023-02-28T00:00:00.000","27","77","1","1340.65","26.33","216.47","37953","Prestadora de Servicios Públicos y Energía en ZOnas No Conectadas ESP SAS","2023","2"
"2023-02-01T00:00:00.000","2023-02-28T00:00:00.000","27","77","1","1205.5","239.79","81.7","1811","E. S. P. DE ENERGIA ELECTRICA DE BAJO BAUDO PIZARRO S.A.","2023","2"
"2023-03-01T00:00:00.000","2023-03-31T00:00:00.000","27","77","1","1343.38","26.64","218.74","37953","Prestadora de Servicios Públicos y Energía en ZOnas No Conectadas ESP SAS","2023","3"
"2023-03-01T00:00:00.000","2023-03-31T00:00:00.000","27","77","1","1582.4243","185.2347","130.9608","37735","ENERPACIFIC S.A.S. E.S.P.","2023","3"
"2023-03-01T00:00:00.000","2023-03-31T00:00:00.000","27","77","1","1211.2","242.52","83.06","1811","E. S. P. DE ENERGIA ELECTRICA DE BAJO BAUDO PIZARRO S.A.","2023","3"
"2023-03-01T00:00:00.000","2023-03-31T00:00:00.000","27","77","1","1070.47","40.71","116.43","43836","EMPRESA DE SERVICIOS PÚBLICOS DE ENERGÍA LIMPIA DE COLOMBIA ENERLIMPIA S.A. E.S.P.","2023","3"
"2023-04-01T00:00:00.000","2023-04-30T00:00:00.000","27","77","1","1203.55","239.91","83.93","1811","E. S. P. DE ENERGIA ELECTRICA DE BAJO BAUDO PIZARRO S.A.","2023","4"
"2023-04-01T00:00:00.000","2023-04-30T00:00:00.000","27","77","1","1343.47","26.63","218.74","37953","Prestadora de Servicios Públicos y Energía en ZOnas No Conectadas ESP SAS","2023","4"
"2023-04-01T00:00:00.000","2023-04-30T00:00:00.000","27","77","1","1593.7425","185.2041","132.3367","37735","ENERPACIFIC S.A.S. E.S.P.","2023","4"
"2023-04-01T00:00:00.000","2023-04-30T00:00:00.000","27","77","1","1068.1","36.91","117.66","43836","EMPRESA DE SERVICIOS PÚBLICOS DE ENERGÍA LIMPIA DE COLOMBIA ENERLIMPIA S.A. E.S.P.","2023","4"
"2023-05-01T00:00:00.000","2023-05-31T00:00:00.000","27","77","1","1090.63","37.62","118.57","43836","EMPRESA DE SERVICIOS PÚBLICOS DE ENERGÍA LIMPIA DE COLOMBIA ENERLIMPIA S.A. E.S.P.","2023","5"
"2023-05-01T00:00:00.000","2023-05-31T00:00:00.000","27","77","1","1599.4912","183.2211","133.3711","37735","ENERPACIFIC S.A.S. E.S.P.","2023","5"
"2023-05-01T00:00:00.000","2023-05-31T00:00:00.000","27","77","1","1209.4","236.44","84.59","1811","E. S. P. DE ENERGIA ELECTRICA DE BAJO BAUDO PIZARRO S.A.","2023","5"
"2023-05-01T00:00:00.000","2023-05-31T00:00:00.000","27","77","1","1356.22","26.35","220.45","37953","Prestadora de Servicios Públicos y Energía en ZOnas No Conectadas ESP SAS","2023","5"
"2023-06-01T00:00:00.000","2023-06-30T00:00:00.000","27","77","1","1092.25","34.62","119.09","43836","EMPRESA DE SERVICIOS PÚBLICOS DE ENERGÍA LIMPIA DE COLOMBIA ENERLIMPIA S.A. E.S.P.","2023","6"
"2023-06-01T00:00:00.000","2023-06-30T00:00:00.000","27","77","1","1608.2919","181.6267","133.9536","37735","ENERPACIFIC S.A.S. E.S.P.","2023","6"
"2023-06-01T00:00:00.000","2023-06-30T00:00:00.000","27","77","1","1366.17","26.09","221.42","37953","Prestadora de Servicios Públicos y Energía en ZOnas No Conectadas ESP SAS","2023","6"
